Unnamed: 0,French,English
0,seulement,only
1,police,police
2,aide,help
3,genre,kind
4,mois,month
5,frère,brother
6,car,because
7,aucun,no
8,laisse,leash
9,eux,them
10,chaque,each
11,arrivé,come
13,pendant,while
14,revoir,meet again
15,aucune,any
16,place,square
17,savais,knew
18,étaient,were
19,voici,here is
20,pourrais,could
21,donner,give
22,type,type
23,donné,given
24,train,train
25,endroit,place
26,façon,way
27,écoute,listen
28,dont,whose
29,côté,side
30,pouvoir,power
31,vieux,old
33,point,point
36,venez,come
37,devant,in front of
38,demandé,request
39,mis,placed
40,belle,beautiful
41,aimerais,would like to
42,aujourd'hui,today
43,mari,husband
44,cause,cause
45,enfin,finally
46,espère,hope
47,attendez,Wait
48,nouvelle,new
50,terre,Earth
51,donne,given
53,plutôt,rather
54,aura,will have
55,jouer,to play
56,bureau,office
